Event	ID	Name			Wwise Object Path	Notes
	13893392	Play_DIALG_DOCLOUIS_SuperMachoManFunTips_02			\Doc Lewis\Play_DIALG_DOCLOUIS_SuperMachoManFunTips_02	
	13893393	Play_DIALG_DOCLOUIS_SuperMachoManFunTips_03			\Doc Lewis\Play_DIALG_DOCLOUIS_SuperMachoManFunTips_03	
	13893395	Play_DIALG_DOCLOUIS_SuperMachoManFunTips_01			\Doc Lewis\Play_DIALG_DOCLOUIS_SuperMachoManFunTips_01	
	13893398	Play_DIALG_DOCLOUIS_SuperMachoManFunTips_04			\Doc Lewis\Play_DIALG_DOCLOUIS_SuperMachoManFunTips_04	
	20050778	Play_DIALG_DOCLOUIS_BearHugger2PuzzleTips_02			\Doc Lewis\Play_DIALG_DOCLOUIS_BearHugger2PuzzleTips_02	
	20050779	Play_DIALG_DOCLOUIS_BearHugger2PuzzleTips_03			\Doc Lewis\Play_DIALG_DOCLOUIS_BearHugger2PuzzleTips_03	
	133355413	Play_DIALG_DOCLOUIS_PistonHondoFunTips_01			\Doc Lewis\Play_DIALG_DOCLOUIS_PistonHondoFunTips_01	
	133355414	Play_DIALG_DOCLOUIS_PistonHondoFunTips_02			\Doc Lewis\Play_DIALG_DOCLOUIS_PistonHondoFunTips_02	
	133355415	Play_DIALG_DOCLOUIS_PistonHondoFunTips_03			\Doc Lewis\Play_DIALG_DOCLOUIS_PistonHondoFunTips_03	
	182283025	Play_DIALG_DOCLOUIS_BaldBull2PuzzleTips_01			\Doc Lewis\Play_DIALG_DOCLOUIS_BaldBull2PuzzleTips_01	
	182283027	Play_DIALG_DOCLOUIS_BaldBull2PuzzleTips_03			\Doc Lewis\Play_DIALG_DOCLOUIS_BaldBull2PuzzleTips_03	
	257584834	Play_DIALG_DOCLOUIS_BaldBullFunTips_05			\Doc Lewis\Play_DIALG_DOCLOUIS_BaldBullFunTips_05	
	257584835	Play_DIALG_DOCLOUIS_BaldBullFunTips_04			\Doc Lewis\Play_DIALG_DOCLOUIS_BaldBullFunTips_04	
	257584836	Play_DIALG_DOCLOUIS_BaldBullFunTips_03			\Doc Lewis\Play_DIALG_DOCLOUIS_BaldBullFunTips_03	
	257584837	Play_DIALG_DOCLOUIS_BaldBullFunTips_02			\Doc Lewis\Play_DIALG_DOCLOUIS_BaldBullFunTips_02	
	291172227	Play_DIALG_DOCLOUIS_DonFlamencoPuzzleTips_01			\Doc Lewis\Play_DIALG_DOCLOUIS_DonFlamencoPuzzleTips_01	
	366949210	Play_DIALG_DOCLOUIS_AranRyan2PuzzleTips_04			\Doc Lewis\Play_DIALG_DOCLOUIS_AranRyan2PuzzleTips_04	
	366949212	Play_DIALG_DOCLOUIS_AranRyan2PuzzleTips_02			\Doc Lewis\Play_DIALG_DOCLOUIS_AranRyan2PuzzleTips_02	
	366949215	Play_DIALG_DOCLOUIS_AranRyan2PuzzleTips_01			\Doc Lewis\Play_DIALG_DOCLOUIS_AranRyan2PuzzleTips_01	
	443896431	Play_DIALG_DOCLOUIS_DiscoKidBlockingTips_02			\Doc Lewis\Play_DIALG_DOCLOUIS_DiscoKidBlockingTips_02	
	450621323	Play_DIALG_DOCLOUIS_DonFlamencoHookTips_02			\Doc Lewis\Play_DIALG_DOCLOUIS_DonFlamencoHookTips_02	
	451327042	Play_DIALG_DOCLOUIS_GlassJoeFunTips_03			\Doc Lewis\Play_DIALG_DOCLOUIS_GlassJoeFunTips_03	
	451327043	Play_DIALG_DOCLOUIS_GlassJoeFunTips_02			\Doc Lewis\Play_DIALG_DOCLOUIS_GlassJoeFunTips_02	
	451327046	Play_DIALG_DOCLOUIS_GlassJoeFunTips_07			\Doc Lewis\Play_DIALG_DOCLOUIS_GlassJoeFunTips_07	
	451327047	Play_DIALG_DOCLOUIS_GlassJoeFunTips_06			\Doc Lewis\Play_DIALG_DOCLOUIS_GlassJoeFunTips_06	
	455746681	Play_DIALG_DOCLOUIS_SandmanPuzzleTips_01			\Doc Lewis\Play_DIALG_DOCLOUIS_SandmanPuzzleTips_01	
	455746682	Play_DIALG_DOCLOUIS_SandmanPuzzleTips_02			\Doc Lewis\Play_DIALG_DOCLOUIS_SandmanPuzzleTips_02	
	455746684	Play_DIALG_DOCLOUIS_SandmanPuzzleTips_04			\Doc Lewis\Play_DIALG_DOCLOUIS_SandmanPuzzleTips_04	
	455746685	Play_DIALG_DOCLOUIS_SandmanPuzzleTips_05			\Doc Lewis\Play_DIALG_DOCLOUIS_SandmanPuzzleTips_05	
	455746686	Play_DIALG_DOCLOUIS_SandmanPuzzleTips_06			\Doc Lewis\Play_DIALG_DOCLOUIS_SandmanPuzzleTips_06	
	459497605	Play_DIALG_DOCLOUIS_SodaPopinskiDrinkingTips_03			\Doc Lewis\Play_DIALG_DOCLOUIS_SodaPopinskiDrinkingTips_03	
	472662611	Play_DIALG_DOCLOUIS_BearHugger2FunTips_04			\Doc Lewis\Play_DIALG_DOCLOUIS_BearHugger2FunTips_04	
	472662612	Play_DIALG_DOCLOUIS_BearHugger2FunTips_03			\Doc Lewis\Play_DIALG_DOCLOUIS_BearHugger2FunTips_03	
	472662613	Play_DIALG_DOCLOUIS_BearHugger2FunTips_02			\Doc Lewis\Play_DIALG_DOCLOUIS_BearHugger2FunTips_02	
	472662614	Play_DIALG_DOCLOUIS_BearHugger2FunTips_01			\Doc Lewis\Play_DIALG_DOCLOUIS_BearHugger2FunTips_01	
	571716642	Play_DIALG_DOCLOUIS_BearHuggerDuckTips_03			\Doc Lewis\Play_DIALG_DOCLOUIS_BearHuggerDuckTips_03	
	587919928	Play_DIALG_DOCLOUIS_DonFlamencoFuntips_05			\Doc Lewis\Play_DIALG_DOCLOUIS_DonFlamencoFuntips_05	
	587919929	Play_DIALG_DOCLOUIS_DonFlamencoFunTips_04			\Doc Lewis\Play_DIALG_DOCLOUIS_DonFlamencoFunTips_04	
	587919934	Play_DIALG_DOCLOUIS_DonFlamencoFunTips_03			\Doc Lewis\Play_DIALG_DOCLOUIS_DonFlamencoFunTips_03	
	587919935	Play_DIALG_DOCLOUIS_DonFlamencoFunTips_02			\Doc Lewis\Play_DIALG_DOCLOUIS_DonFlamencoFunTips_02	
	742910410	Play_DIALG_DOCLOUIS_GlassJoe2FunTips_03			\Doc Lewis\Play_DIALG_DOCLOUIS_GlassJoe2FunTips_03	
	742910411	Play_DIALG_DOCLOUIS_GlassJoe2FunTips_02			\Doc Lewis\Play_DIALG_DOCLOUIS_GlassJoe2FunTips_02	
	742910412	Play_DIALG_DOCLOUIS_GlassJoe2FunTips_05			\Doc Lewis\Play_DIALG_DOCLOUIS_GlassJoe2FunTips_05	
	797634477	Play_DIALG_DOCLOUIS_GreatTiger2PuzzleTips_01			\Doc Lewis\Play_DIALG_DOCLOUIS_GreatTiger2PuzzleTips_01	
	797634479	Play_DIALG_DOCLOUIS_GreatTiger2PuzzleTips_03			\Doc Lewis\Play_DIALG_DOCLOUIS_GreatTiger2PuzzleTips_03	
	849526986	Play_DIALG_DOCLOUIS_RSPracticeMode_01			\Doc Lewis\Play_DIALG_DOCLOUIS_RSPracticeMode_01	
	851718368	Play_DIALG_DOCLOUIS_KingHippo2FunTips_04			\Doc Lewis\Play_DIALG_DOCLOUIS_KingHippo2FunTips_04	
	851718369	Play_DIALG_DOCLOUIS_KingHippo2FunTips_05			\Doc Lewis\Play_DIALG_DOCLOUIS_KingHippo2FunTips_05	
	851718373	Play_DIALG_DOCLOUIS_KingHippo2FunTips_01			\Doc Lewis\Play_DIALG_DOCLOUIS_KingHippo2FunTips_01	
	851718374	Play_DIALG_DOCLOUIS_KingHippo2FunTips_02			\Doc Lewis\Play_DIALG_DOCLOUIS_KingHippo2FunTips_02	
	851718375	Play_DIALG_DOCLOUIS_KingHippo2FunTips_03			\Doc Lewis\Play_DIALG_DOCLOUIS_KingHippo2FunTips_03	
	868531741	Play_DIALG_DOCLOUIS_SuperMachoManPuzzleTips_02			\Doc Lewis\Play_DIALG_DOCLOUIS_SuperMachoManPuzzleTips_02	
	868531742	Play_DIALG_DOCLOUIS_SuperMachoManPuzzleTips_01			\Doc Lewis\Play_DIALG_DOCLOUIS_SuperMachoManPuzzleTips_01	
	899800166	Play_DIALG_DOCLOUIS_CornermanH2H_BMNegative_08			\Doc Lewis\Play_DIALG_DOCLOUIS_CornermanH2H_BMNegative_08	
